ip,time,method,url,status,size,duration,referer,agent,class
197.87.76.148,7/8/2024 14:30,GET,/admin,403,1230,3215,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/16.0.874.0 Mobile/34A014 Safari/533.1",normal
19.183.213.125,3/10/2024 23:44,GET,/settings,301,1573,632,-,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.5.1 (KHTML, like Gecko) Version/5.0.5 Safari/531.5.1",normal
28.137.162.241,3/25/2024 23:18,GET,/index.html,500,1237,4151,https://barrett-henry.info/,Mozilla/5.0 (Windows NT 5.2; wal-ET; rv:1.9.0.20) Gecko/4487-12-05 14:18:13.320740 Firefox/3.6.15,anomaly
206.172.113.70,2/23/2024 8:35,POST,/help,301,4624,4637,http://patterson.com/,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/534.23.6 (KHTML, like Gecko) Version/4.1 Safari/534.23.6",normal
203.33.81.135,2/8/2024 0:28,GET,/login,404,109,3570,http://www.murray.info/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; te-IN) AppleWebKit/535.36.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6535.36.3",normal
1.70.252.157,6/11/2024 12:31,GET,/upload,500,4594,3483,https://www.smith-garcia.com/,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.0),anomaly
41.204.40.63,2/14/2024 2:29,GET,/profile,301,929,3269,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/23.0.876.0 Safari/535.1",anomaly
91.242.175.146,5/4/2024 3:13,POST,/admin,404,1280,3926,http://hernandez.net/,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0),anomaly
55.22.3.35,3/17/2024 0:08,POST,/help,200,1321,827,-,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/54.0.826.0 Safari/531.1",anomaly
194.138.222.187,4/22/2024 22:39,GET,/products,500,1817,3814,https://www.freeman.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; bs-BA) AppleWebKit/535.38.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6535.38.4",anomaly
124.149.112.53,1/2/2024 5:27,GET,/profile,301,2457,2616,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/39.0.837.0 Safari/531.0",anomaly
