ip,time,method,url,status,size,duration,referer,agent
197.87.76.148,2024-07-08 14:30:52 ,GET,/admin,403,1230,3215,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/16.0.874.0 Mobile/34A014 Safari/533.1"
19.183.213.125,2024-03-10 23:44:15 ,GET,/settings,301,1573,632,-,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.5.1 (KHTML, like Gecko) Version/5.0.5 Safari/531.5.1"
28.137.162.241,2024-03-25 23:18:49 ,GET,/index.html,500,1237,4151,https://barrett-henry.info/,Mozilla/5.0 (Windows NT 5.2; wal-ET; rv:1.9.0.20) Gecko/4487-12-05 14:18:13.320740 Firefox/3.6.15
206.172.113.70,2024-02-23 08:35:26 ,POST,/help,301,4624,4637,http://patterson.com/,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/534.23.6 (KHTML, like Gecko) Version/4.1 Safari/534.23.6"
203.33.81.135,2024-02-08 00:28:44 ,GET,/login,404,109,3570,http://www.murray.info/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; te-IN) AppleWebKit/535.36.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6535.36.3"
1.70.252.157,2024-06-11 12:31:46 ,GET,/upload,500,4594,3483,https://www.smith-garcia.com/,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.0)
41.204.40.63,2024-02-14 02:29:29 ,GET,/profile,301,929,3269,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/23.0.876.0 Safari/535.1"
91.242.175.146,2024-05-04 03:13:17 ,POST,/admin,404,1280,3926,http://hernandez.net/,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0)
55.22.3.35,2024-03-17 00:08:02 ,POST,/help,200,1321,827,-,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/54.0.826.0 Safari/531.1"
194.138.222.187,2024-04-22 22:39:43 ,GET,/products,500,1817,3814,https://www.freeman.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; bs-BA) AppleWebKit/535.38.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6535.38.4"
124.149.112.53,2024-01-02 05:27:26 ,GET,/profile,301,2457,2616,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/39.0.837.0 Safari/531.0"
56.109.208.139,2024-06-04 04:14:59 ,GET,/help,403,4326,2497,http://www.newman-wright.com/,Mozilla/5.0 (Windows 95; st-ZA; rv:1.9.2.20) Gecko/2528-12-11 14:34:17.965919 Firefox/3.8
11.164.217.73,2024-03-31 07:14:51 ,POST,/contact.html,301,113,1008,https://dawson.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; my-MM) AppleWebKit/531.20.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6531.20.7"
94.69.65.164,2024-06-06 15:29:14 ,GET,/login,200,4453,2412,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.0)
192.58.185.177,2024-05-22 20:27:19 ,POST,/login,200,263,2060,http://www.simon.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0 rv:3.0; nhn-MX) AppleWebKit/533.44.4 (KHTML, like Gecko) Version/4.0.3 Safari/533.44.4"
47.15.148.123,2024-05-09 03:17:55 ,GET,/admin,500,3270,3391,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; cy-GB) AppleWebKit/533.42.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6533.42.6"
103.204.197.104,2024-05-02 20:11:25 ,GET,/comment,403,527,4895,-,Opera/8.17.(X11; Linux i686; ss-ZA) Presto/2.9.179 Version/11.00
27.39.33.157,2024-03-11 08:18:42 ,POST,/upload,500,4970,2869,http://smith.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; de-BE) AppleWebKit/532.20.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.20.7"
